txt,result
나 어린이집 다닐 때 잠깐 사물함 뒤쪽에 뭐 좀 넣어놓고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 그윽하게 보더니 ”이것만은 잊지마” 라고 하고 볼에 뽀뽀해주고 갔어,2
나 유치원 때 잠깐 사물함 뒤쪽에 뭐 좀 넣고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 그윽하게 보더니 ”이것만은 잊지마” 라고 하고 볼에 뽀뽀해주고 갔어,2
나 유치원생 일 때 잠깐 사물함 뒤쪽에 뭐 좀 넣어놓고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 지켜보더니 ”이것만은 잊지마” 라고 하고 볼에 뽀뽀해주고 갔어,2
나 유치원 때 잠깐 서랍장 뒤쪽에 뭐 좀 넣어놓고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 그윽하게 보더니 ”이것만은 잊지마” 라고 하고 볼에 뽀뽀해주고 갔어,2
나 어린이집 다닐 때 잠깐 서랍 뒤쪽에 뭐 좀 넣고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 지켜보더니 ”이것만은 잊지마” 하고 볼에 뽀뽀해주고 갔어,2
나 유치원 때 잠깐 사물함 뒤쪽에 뭐 좀 넣어놓고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 그윽하게 보더니 ”이것만은 까먹지 마” 라고 하고 볼에 뽀뽀해주고 갔어,2
나 유치원 때 잠깐 사물함 뒤쪽에 뭐 좀 넣어놓고 문을 탁 닫으니까 한 남자애가 있는거야! 그리고 날 그윽하게 보더니 ”이거는 잊지마” 라고 하고 볼에 뽀뽀해주고 갔어,2
나 중학교 3학년 때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 가까이 지내던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 매일 톡하고 전화하고 한창 꽁냥대던 호감이 있는 남자애가 있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산을 안가져와서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 비맞고 집으로 뛰어왔어. 그래서 얘한테 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하는 말투로 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하면서 비맞으면 안되는데.. 감기걸리면 어떡해 나한테 연락하지ㅠㅠ 이러는거! 속으로는 부른다고 오겠어ㅋㅋ 이러고 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
나 중3때 맨날 톡하고 전화하고 한창 꽁냥대던 썸남있었거든! 그러다가 비가 온 날이 있었는데 그때 내가 우산이 없어서 친구랑 비맞고 집으로 뛰어왔어. 그래서 얘랑 톡하다가 비맞았다고 얘기하니까 전화와서 엄청 걱정하면서 비맞으면 안되는데.. 감기걸리면 어떡해 나 부르지ㅠㅠ 이러는거! 부른다고 올까라는 생각이 있었지. 그리고 며칠 있다가 비가 또 왔거든? 학원이었는데 집이랑 걸어서 15분 정도 거리여서 어떡하나 고민하고 있었는데 학원끝나고 나오니까 걔가 우산들고 나 기다리고 있었다! 학원 끝나는 시간 어떻게 알았냐고 했더니 나랑 같은 수업듣는 애랑 되게 친해서 걔한테 언제 끝나나 물어봤대. 근데 킬포는 쌤이 그날 수업 더 오래하셔서 얘가 거의 30분씩 기다린거였단거..,2
